strat1;strat5
0.1;0.9
0.0964;0.9036
0.0933;0.9067
0.0861;0.9139
0.0881;0.9119
0.0853;0.9147
0.0852;0.9148
0.0842;0.9158
0.0821;0.9179
0.0791;0.9209
0.0772;0.9228
0.0764;0.9236
0.0704;0.9296
0.073;0.927
0.0703;0.9297
0.0725;0.9275
0.072;0.928
0.0726;0.9274
0.0691;0.9309
0.0669;0.9331
0.0682;0.9318
0.0693;0.9307
0.0712;0.9288
0.0682;0.9318
0.0681;0.9319
0.0685;0.9315
0.0663;0.9337
0.0616;0.9384
0.0589;0.9411
0.0602;0.9398
0.0613;0.9387
0.0585;0.9415
0.0607;0.9393
0.0584;0.9416
0.0552;0.9448
0.0508;0.9492
0.0511;0.9489
0.0543;0.9457
0.0551;0.9449
0.0547;0.9453
0.0535;0.9465
0.0536;0.9464
0.0552;0.9448
0.054;0.946
0.0507;0.9493
0.0516;0.9484
0.0514;0.9486
0.0512;0.9488
0.0495;0.9505
0.0424;0.9576
0.0415;0.9585
0.0424;0.9576
0.0391;0.9609
0.0405;0.9595
0.0409;0.9591
0.0374;0.9626
0.0394;0.9606
0.038;0.962
0.0359;0.9641
0.034;0.966
0.0344;0.9656
0.0318;0.9682
0.031;0.969
0.0315;0.9685
0.0327;0.9673
0.0321;0.9679
0.0316;0.9684
0.0301;0.9699
0.0297;0.9703
0.0308;0.9692
0.0315;0.9685
0.0296;0.9704
0.0286;0.9714
0.0288;0.9712
0.0266;0.9734
0.0291;0.9709
0.0269;0.9731
0.0273;0.9727
0.0251;0.9749
0.0255;0.9745
0.0226;0.9774
0.0246;0.9754
0.0217;0.9783
0.0219;0.9781
0.0212;0.9788
0.0236;0.9764
0.0251;0.9749
0.0273;0.9727
0.0275;0.9725
0.0283;0.9717
0.0265;0.9735
0.0232;0.9768
0.023;0.977
0.0229;0.9771
0.0224;0.9776
0.0199;0.9801
0.0205;0.9795
0.0227;0.9773
0.0224;0.9776
0.0213;0.9787
